GEO,DGUID,Total - Shelter-cost-to-income ratio,30% to less than 50%,50% or more,affordability_30plus,affordability_50plus,ALT_GEO_CODE,GEO_NAME,TNR_SF,TNR_LF,"Population, 2021","Population percentage change, 2016 to 2021",Population density per square kilometre,Median age of the population,Average household size,      Median total income of one-person households in 2020 ($),  Renter,    'Not suitable' and 'major repairs needed',simplified_city_nm,market,municipality,starts_2020,starts_2021,Housing Target Status
Kitchenuhmaykoosib Aaki 84,2021A00053560075,0,0,0,,,,,,,,,,,,,,,kitchenuhmaykoosib aaki 84,,,0,0,
Sachigo Lake 1,2021A00053560076,0,0,0,,,,,,,,,,,,,,,sachigo lake 1,,,0,0,
Pikangikum 14,2021A00053560077,,,,,,,,,,,,,,,,,,pikangikum 14,,,0,0,
Fort Severn 89,2021A00053560078,0,0,0,,,,,,,,,,,,,,,fort severn 89,,,0,0,
Webequie,2021A00053560079,0,0,0,,,,,,,,,,,,,,,webequie,,,0,0,
North Spirit Lake,2021A00053560080,0,0,0,,,,,,,,,,,,,,,north spirit lake,,,0,0,
Lansdowne House,2021A00053560081,,,,,,3560081,"Lansdowne House, Indian settlement (S-É)",0,0,0,,0,,,,,,lansdowne house,,,0,0,
Shoal Lake (Part) 40,2021A00053560082,,,,,,,,,,,,,,,,,,shoal lake part 40,,,0,0,
Whitefish Bay 34A,2021A00053560083,,,,,,,,,,,,,,,,,,whitefish bay 34a,,,0,0,
Wabauskang 21,2021A00053560084,,,,,,,,,,,,,,,,,,wabauskang 21,,,0,0,
Wunnumin 1,2021A00053560085,0,0,0,,,,,,,,,,,,,,,wunnumin 1,,,0,0,
Summer Beaver,2021A00053560086,0,0,0,,,3560086,"Summer Beaver, Indian settlement (S-É)",32.2,32.2,355,-7.1,23.1,25,4.1,,0,29.4,summer beaver,,,0,0,
Wapekeka 2,2021A00053560088,0,0,0,,,,,,,,,,,,,,,wapekeka 2,,,0,0,
The Dalles 38C,2021A00053560089,,,,,,,,,,,,,,,,,,the dalles 38c,,,0,0,
"Kenora, Unorganized",2021A00053560090,3240,180,95,8.48765432098766,2.9320987654321,3560090,"Kenora, Unorganized, Unorganized (NO)",19.5,21.9,7475,11.7,0,54.8,2.3,46800,13.3,0.6,kenora unorganized,,,0,0,
Peawanuck,2021A00053560091,,,,,,3560091,"Peawanuck, Indian settlement (S-É)",86.7,87.8,247,26.7,76.7,31,2.7,,33.3,16.7,peawanuck,,,0,0,
Neskantaga,2021A00053560093,,,,,,,,,,,,,,,,,,neskantaga,,,0,0,
Bearskin Lake,2021A00053560095,0,0,0,,,,,,,,,,,,,,,bearskin lake,,,0,0,
Kasabonika Lake,2021A00053560096,0,0,0,,,,,,,,,,,,,,,kasabonika lake,,,0,0,
Muskrat Dam Lake,2021A00053560097,,,,,,,,,,,,,,,,,,muskrat dam lake,,,0,0,
Kingfisher Lake 1,2021A00053560098,0,0,0,,,,,,,,,,,,,,,kingfisher lake 1,,,0,0,
Wawakapewin,2021A00053560100,,,,,,,,,,,,,,,,,,wawakapewin,,,0,0,
Kee-Way-Win,2021A00053560104,0,0,0,,,,,,,,,,,,,,,kee way win,,,0,0,
